Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
The Young and the Bold,Collin's wall aka Parking lot wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087003/the-young-and-the-bold,2.1,-1,Sport,5.8,1,30,42.20906,-91.1022
Lifetime Leisure Skillz,Collin's wall aka Parking lot wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106360437/lifetime-leisure-skillz,1.8,-1,Sport,5.8+ PG13,1,30,42.20906,-91.1022
Chicago Business Trip,Chicago Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/111711370/chicago-business-trip,2.9,-1,Sport,5.11a,1,50,42.2068,-91.10475
Kneel Before Zod,Chicago Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/111711440/kneel-before-zod,2.5,-1,Sport,5.11a,1,50,42.2068,-91.10475
Son of Jor-El,Chicago Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/111711418/son-of-jor-el,3.3,-1,Sport,5.11b,1,50,42.2068,-91.10475
Empty Pockets,Chicago Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087022/empty-pockets,3.2,-1,Sport,5.11c,1,,42.2068,-91.10475
Peek-a-boo,Wild Iowa Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/107726027/peek-a-boo,3,-1,TR,5.9,1,25,42.20952,-91.10185
Atropine,Wild Iowa Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087035/atropine,2.3,-1,Sport,5.10a,1,30,42.20952,-91.10185
Virgin Lemonade,Wild Iowa Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087040/virgin-lemonade,2.8,-1,Sport,5.10a,1,30,42.20952,-91.10185
Gotz Crack,Wild Iowa Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087166/gotz-crack,2.6,-1,"Trad, TR",5.10b,1,30,42.20952,-91.10185
Hot Tamale,Wild Iowa Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087173/hot-tamale,2.8,-1,Sport,5.10c,1,30,42.20952,-91.10185
Bird in Hand,Wild Iowa Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087180/bird-in-hand,3.4,-1,Sport,5.11b,1,30,42.20952,-91.10185
Kiss of the Prince,Wild Iowa Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087196/kiss-of-the-prince,2.7,-1,Sport,5.11b,1,30,42.20952,-91.10185
Wild Iowa,Wild Iowa Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087200/wild-iowa,2.3,-1,Sport,5.11b,1,30,42.20952,-91.10185
Hungry to Do,Wild Iowa Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087048/hungry-to-do,3.2,-1,Sport,5.11c PG13,1,30,42.20952,-91.10185
Space Critters,Mild Iowa Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106395423/space-critters,2,-1,Trad,5.7+,1,40,42.2102,-91.10196
Mild Iowa,Mild Iowa Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087226/mild-iowa,2.2,-1,Sport,5.8,1,40,42.2102,-91.10196
Jugular,Mild Iowa Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087230/jugular,2.4,-1,Sport,5.8,1,40,42.2102,-91.10196
Whipper Snapper,Mild Iowa Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087222/whipper-snapper,2.1,-1,Sport,5.8+,1,40,42.2102,-91.10196
Tiny Dancer,A Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/121411058/tiny-dancer,2.8,-1,Sport,5.7,1,50,42.21089,-91.10204
Hope for a Boner,A Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087242/hope-for-a-boner,2.7,-1,Sport,5.10a,1,40,42.21089,-91.10204
Ghost Dancer,A Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087589/ghost-dancer,3,-1,Sport,5.11a,1,70,42.21089,-91.10204
Super Fly,A Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087593/super-fly,3.6,-1,Sport,5.11b,1,70,42.21089,-91.10204
Schoolio,Comic Gallery > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087935/schoolio,2.6,-1,Sport,5.9,1,40,42.21069,-91.10186
Skeletor,Comic Gallery > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087608/skeletor,2.3,-1,Sport,5.10a,1,30,42.21069,-91.10186
Three Strikes No Balls,Comic Gallery > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087912/three-strikes-no-balls,3.3,-1,"Sport, TR",5.10a,1,40,42.21069,-91.10186
"Exquze me, do you have any Grey Poupon?",Comic Gallery > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087921/exquze-me-do-you-have-any-grey-poupon,2.2,-1,Sport,5.10a,1,40,42.21069,-91.10186
The Buddha (aka Turn Me Loose),Comic Gallery > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087926/the-buddha-aka-turn-me-loose,2.9,-1,Sport,5.10b,1,40,42.21069,-91.10186
Tazmanian Devil,Comic Gallery > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087601/tazmanian-devil,2.9,-1,Sport,5.10d,1,30,42.21069,-91.10186
He Man,Comic Gallery > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087613/he-man,2.8,-1,Sport,5.11b,1,30,42.21069,-91.10186
Flash,Comic Gallery > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087618/flash,3.6,-1,Sport,5.11b,1,50,42.21069,-91.10186
Julie's Kiss,Comic Gallery > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087906/julies-kiss,3.4,-1,Sport,5.11c,1,30,42.21069,-91.10186
Dirty Lid,Ice Cave Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106580141/dirty-lid,2,-1,Trad,5.7,1,60,42.21159,-91.10246
A Dime A Dozen,Ice Cave Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/120652055/a-dime-a-dozen,2.5,-1,Sport,5.8,1,50,42.21159,-91.10246
Money Tree,Ice Cave Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/120652185/money-tree,3.1,-1,Sport,5.8,1,50,42.21159,-91.10246
Monticello Nickel,Ice Cave Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/120652089/monticello-nickel,2.8,-1,Sport,5.9,1,50,42.21159,-91.10246
Angst,Ice Cave Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087941/angst,1.7,-1,Sport,5.9+,1,30,42.21159,-91.10246
Tarzan,Shiprock > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087950/tarzan,2.8,-1,Sport,5.7,1,50,42.21218,-91.10261
Jane,Shiprock > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/120652329/jane,2.7,-1,Sport,5.7,1,30,42.21218,-91.10261
Social Distance,Shiprock > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/118734603/social-distance,2.9,-1,"Trad, TR",5.8,1,80,42.21218,-91.10261
Over The Counter,Shiprock > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087965/over-the-counter,2.9,-1,Sport,5.9 PG13,1,75,42.21218,-91.10261
Silk Road,Shiprock > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087960/silk-road,2.8,-1,Sport,5.10b,1,70,42.21218,-91.10261
Winged Messenger,Flying Buttress > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106087975/winged-messenger,2.8,-1,"Sport, TR",5.10c,1,30,42.2128,-91.10265
Lost & Found,Flying Buttress > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/111837403/lost-found,2.6,-1,Sport,5.11a,1,75,42.2128,-91.10265
Trespass  /  The Dispossessed,Windy Point > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106088405/trespass-the-dispossessed,2.8,-1,Sport,5.9,1,,42.21813,-91.09831
Hollywood on a Buck O' Five,Windy Point > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106088409/hollywood-on-a-buck-o-five,3.1,-1,Sport,5.9+,1,,42.21813,-91.09831
Datura,Windy Point > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106088375/datura,2.4,-1,Sport,5.10d,1,,42.21813,-91.09831
[Redacted],Windy Point > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106088400/redacted,3.5,-1,Sport,5.11a,1,,42.21813,-91.09831
Lesbian Knife Fight,Windy Point > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106088390/lesbian-knife-fight,3.5,-1,Sport,5.11d,1,,42.21813,-91.09831
Caught in the Crotch Fire,Windy Point > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106088395/caught-in-the-crotch-fire,2,-1,Sport,5.11d,1,,42.21813,-91.09831
For Gumbies Only,Gumby Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106088416/for-gumbies-only,2.3,-1,Sport,5.10a,1,,42.20777,-91.10303
Gumby Deranged,Gumby Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106088421/gumby-deranged,2.3,-1,Sport,5.10a,1,,42.20777,-91.10303
Gumby Does Pokey,Gumby Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106088426/gumby-does-pokey,1.7,-1,Sport,5.10c,1,,42.20777,-91.10303
Gumby with a Drill,Gumby Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/107615449/gumby-with-a-drill,3.1,-1,Sport,5.11c,1,30,42.20777,-91.10303
Gumby With a Gun,Gumby Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106088430/gumby-with-a-gun,3.1,-1,Sport,5.11d,1,,42.20777,-91.10303
No Gumbies Allowed,Gumby Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/106088434/no-gumbies-allowed,2.4,-1,Sport,5.11d,1,,42.20777,-91.10303
Echoes of Savages,Primal Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/110353750/echoes-of-savages,2.4,-1,Sport,5.7+,1,40,42.20825,-91.10433
Fresh Blood,Primal Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/110356644/fresh-blood,2.9,-1,Sport,5.10d,1,40,42.20825,-91.10433
Hindsight,2020 Wall > Sport/TR/Trad > Pictured Rocks > Iowa,https://www.mountainproject.com/route/120718830/hindsight,2.9,-1,Sport,5.8-,1,45,42.20829,-91.1026
Horrible chimney route,Boulevard Wall > Sport/TR/Trad > Indian Bluffs > Iowa,https://www.mountainproject.com/route/106873157/horrible-chimney-route,2.2,-1,Sport,5.8-,1,20,42.21775,-91.08184
Go Left,Boulevard Wall > Sport/TR/Trad > Indian Bluffs > Iowa,https://www.mountainproject.com/route/106279745/go-left,2.5,-1,Sport,5.10b,1,60,42.21775,-91.08184
Ward off,Boulevard Wall > Sport/TR/Trad > Indian Bluffs > Iowa,https://www.mountainproject.com/route/106279751/ward-off,3.6,-1,Sport,5.11b,1,60,42.21775,-91.08184
No Response,Boulevard Wall > Sport/TR/Trad > Indian Bluffs > Iowa,https://www.mountainproject.com/route/106281632/no-response,3.1,-1,Sport,5.11c,1,50,42.21775,-91.08184
Ordinary Freak,Boulevard Wall > Sport/TR/Trad > Indian Bluffs > Iowa,https://www.mountainproject.com/route/106281637/ordinary-freak,3.3,-1,Sport,5.11d,1,50,42.21775,-91.08184
[Redacted],Boulevard Wall > Sport/TR/Trad > Indian Bluffs > Iowa,https://www.mountainproject.com/route/106873152/redacted,3,-1,Sport,5.11d,1,20,42.21775,-91.08184
Doin' the Smurf,Mother Wall > Sport/TR/Trad > Indian Bluffs > Iowa,https://www.mountainproject.com/route/106934855/doin-the-smurf,2.3,-1,Sport,5.11a/b,1,40,42.21546,-91.08499
D.I.B. Doin It Backwards,Mother Wall > Sport/TR/Trad > Indian Bluffs > Iowa,https://www.mountainproject.com/route/110754872/dib-doin-it-backwards,1.5,-1,Sport,5.11b,1,55,42.21546,-91.08499
Death Blox,Mother Wall > Sport/TR/Trad > Indian Bluffs > Iowa,https://www.mountainproject.com/route/119734966/death-blox,3.1,-1,Sport,5.11,1,70,42.21546,-91.08499
C N Red,Mother Wall > Sport/TR/Trad > Indian Bluffs > Iowa,https://www.mountainproject.com/route/106934851/c-n-red,3.8,-1,Sport,5.11c,1,85,42.21546,-91.08499
